population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,410,Neoplasms,1,Number,1995,6336.8020594079435,6469.908179017566,6189.184224629906
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,410,Neoplasms,3,Rate,1995,526.5751050658811,537.6359474689178,514.3083692377614
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,410,Neoplasms,1,Number,1995,8746.718104624308,8959.367610608928,8515.697618432436
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,410,Neoplasms,3,Rate,1995,785.8797187887257,804.9859632068916,765.1228688992886
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,410,Neoplasms,1,Number,1995,10423.339965169442,10660.51180765346,10053.478503680339
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,410,Neoplasms,3,Rate,1995,1086.4962945965099,1111.2183442372775,1047.9430948769589
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,410,Neoplasms,1,Number,1995,9482.145993878297,9780.866759236173,9014.099293037294
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,410,Neoplasms,3,Rate,1995,1437.4448153391306,1482.7293549016981,1366.4913303479866
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,410,Neoplasms,1,Number,1995,16022.422428695481,16957.72981915066,14196.137460498046
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,410,Neoplasms,3,Rate,1995,2066.680690282113,2187.3229796696396,1831.1140713439916
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,410,Neoplasms,1,Number,1995,35927.908387743206,37311.90996068871,33235.01748340727
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,410,Neoplasms,3,Rate,1995,1500.5728039783853,1558.3773134592036,1388.100939167411
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,410,Neoplasms,1,Number,1995,8153.0286627892665,8541.824795523953,7424.4219729722845
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,410,Neoplasms,3,Rate,1995,1829.4784225058238,1916.7213557777484,1665.9845513757866
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,410,Neoplasms,1,Number,1995,4786.127793396011,5104.032300701746,4153.9140158978025
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,410,Neoplasms,3,Rate,1995,2170.479455673026,2314.647190376023,1883.774404139155
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,410,Neoplasms,1,Number,1995,7869.3937659062085,8463.608129353406,6709.089080783175
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,410,Neoplasms,3,Rate,1995,2387.373827163175,2567.643344894559,2035.366910340842
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,410,Neoplasms,1,Number,1995,51011.4285517755,52599.298759949845,48014.37517280256
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,410,Neoplasms,3,Rate,1995,1082.892668679245,1116.6006642414736,1019.2699232696348
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,410,Neoplasms,1,Number,1995,19170.05806979376,19605.2558668283,18594.319372439695
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,410,Neoplasms,3,Rate,1995,925.0450403769357,946.0453713234602,897.2629530926172
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,410,Neoplasms,1,Number,1995,25504.56842257376,26695.671672329394,23191.02950400379
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,410,Neoplasms,3,Rate,1995,1777.413356485828,1860.4213411728185,1616.182830782186
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,410,Neoplasms,1,Number,1995,17635.174656667557,18295.208365649538,16410.311005507745
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,410,Neoplasms,3,Rate,1995,1595.5094014482959,1655.224715215001,1484.6921564271995
1,All Population,1,Deaths,101,Canada,3,Both,420,<70 years,410,Neoplasms,1,Number,1995,27397.477268001352,27821.107749049155,26915.101609554855
1,All Population,1,Deaths,101,Canada,3,Both,420,<70 years,410,Neoplasms,3,Rate,1995,101.92201291969927,103.4979708424004,100.12751565225356
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,410,Neoplasms,1,Number,2000,6047.96188735016,6173.546325684025,5882.473205598415
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,410,Neoplasms,3,Rate,2000,481.05376423404203,491.0427271136003,467.89082525102435
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,410,Neoplasms,1,Number,2000,8339.979462808902,8522.29801409234,8055.658250652334
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,410,Neoplasms,3,Rate,2000,726.6654621145856,742.5509441965542,701.8924508689258
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,410,Neoplasms,1,Number,2000,10579.809778492816,10876.73786530625,10173.868432510057
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,410,Neoplasms,3,Rate,2000,1046.8647834271612,1076.245610096398,1006.6971709517217
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,410,Neoplasms,1,Number,2000,11408.77043581958,11803.513849926358,10751.947189224597
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,410,Neoplasms,3,Rate,2000,1408.9502026952266,1457.6998744014925,1327.8344285080805
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,410,Neoplasms,1,Number,2000,18778.844945603287,19936.394981954698,16429.97801597683
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,410,Neoplasms,3,Rate,2000,2074.640047981454,2202.5232947899453,1815.1430760591604
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,410,Neoplasms,1,Number,2000,40767.42515991569,42475.910207199384,37388.81434985732
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,410,Neoplasms,3,Rate,2000,1495.7692362278726,1558.454072571056,1371.806977364363
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,410,Neoplasms,1,Number,2000,8927.060966889268,9441.638070896324,8056.346922358948
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,410,Neoplasms,3,Rate,2000,1799.9624910060854,1903.7166256959483,1624.4004973824556
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,410,Neoplasms,1,Number,2000,5942.588198127995,6355.072386455297,5159.923682402564
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,410,Neoplasms,3,Rate,2000,2165.540930768985,2315.8544580295775,1880.3298430483464
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,410,Neoplasms,1,Number,2000,9851.78397871403,10631.897885722812,8370.289834931848
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,410,Neoplasms,3,Rate,2000,2407.551671050948,2598.193746078891,2045.5082371691838
