population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,542,Neurological disorders,1,Number,1995,326.9739871533823,587.9990878850961,226.5190283714619
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,542,Neurological disorders,3,Rate,1995,27.17086000555762,48.861504364342665,18.82326133053749
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,542,Neurological disorders,1,Number,1995,555.9049865054938,1050.027162340082,353.3191327357419
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,542,Neurological disorders,3,Rate,1995,49.9472429821668,94.34339156581184,31.74520286989031
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,542,Neurological disorders,1,Number,1995,927.2714202024567,1753.0414710621565,566.4725257777702
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,542,Neurological disorders,3,Rate,1995,96.65586707349003,182.73154947911996,59.047320945582186
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,542,Neurological disorders,1,Number,1995,1400.0118962419508,2674.7326814177222,786.0677185928505
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,542,Neurological disorders,3,Rate,1995,212.23464002403423,405.47578868794466,119.1638440629619
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,542,Neurological disorders,1,Number,1995,7736.029031241115,17296.759663753153,3025.070667309665
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,542,Neurological disorders,3,Rate,1995,997.8454811985358,2231.053347932459,390.19412717960194
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,542,Neurological disorders,1,Number,1995,10063.312347685533,21531.647602551424,4404.339113493282
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,542,Neurological disorders,3,Rate,1995,420.30648330277893,899.2954576854108,183.952581427227
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,542,Neurological disorders,1,Number,1995,2464.7925331966667,5098.451506073354,1139.9731935567604
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,542,Neurological disorders,3,Rate,1995,553.0809398496683,1144.0542409871089,255.80142620688991
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,542,Neurological disorders,1,Number,1995,2488.852164292731,5782.853230359594,980.0965890752097
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,542,Neurological disorders,3,Rate,1995,1128.6791168130749,2622.4882981576,444.4677624567842
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,542,Neurological disorders,1,Number,1995,5271.236498044442,12292.130740303317,1887.2058881345458
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,542,Neurological disorders,3,Rate,1995,1599.1590237535167,3729.119686017985,572.530245381846
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,542,Neurological disorders,1,Number,1995,10946.191321344395,22855.297226718412,4991.377862163304
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,542,Neurological disorders,3,Rate,1995,232.37048379880463,485.1821348656784,105.95912812083746
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,542,Neurological disorders,1,Number,1995,1483.176406707951,2819.4127471636443,921.5813181233445
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,542,Neurological disorders,3,Rate,1995,71.57020464070175,136.0498632317027,44.47061268830106
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,542,Neurological disorders,1,Number,1995,9136.040927483065,20068.19984844073,3830.234975363079
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,542,Neurological disorders,3,Rate,1995,636.6906861884806,1398.5528341532258,266.92907289754044
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,542,Neurological disorders,1,Number,1995,3864.804429438619,7820.992860820633,1947.4662791302133
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,542,Neurological disorders,3,Rate,1995,349.6609430855254,707.5896826109081,176.19336455967607
1,All Population,1,Deaths,101,Canada,3,Both,420,<70 years,542,Neurological disorders,1,Number,1995,1579.2129251142044,2528.8281559975417,1191.5866098604363
1,All Population,1,Deaths,101,Canada,3,Both,420,<70 years,542,Neurological disorders,3,Rate,1995,5.874867915099388,9.407554333052028,4.432849953925545
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,542,Neurological disorders,1,Number,2000,359.1415265282601,621.7564608772518,253.5927501252557
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,542,Neurological disorders,3,Rate,2000,28.566050257448808,49.454393316768076,20.17072020334213
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,542,Neurological disorders,1,Number,2000,592.8169522159658,1095.163881352485,382.7975389410241
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,542,Neurological disorders,3,Rate,2000,51.65235795272431,95.42202969240587,33.3532896299506
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,542,Neurological disorders,1,Number,2000,1025.579008238131,1873.257852042936,638.4856951433213
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,542,Neurological disorders,3,Rate,2000,101.48032609520173,185.35755525290045,63.17771330126641
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,542,Neurological disorders,1,Number,2000,1799.0548728004196,3318.5067548847637,1031.3067958106087
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,542,Neurological disorders,3,Rate,2000,222.17808149891937,409.8260010790096,127.36341108558189
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,542,Neurological disorders,1,Number,2000,9407.111261304157,20489.400198326064,3816.8428962417497
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,542,Neurological disorders,3,Rate,2000,1039.274237316087,2263.6179346333456,421.67530283861424
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,542,Neurological disorders,1,Number,2000,12231.745142342706,25477.812238787814,5521.705376726404
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,542,Neurological disorders,3,Rate,2000,448.78645186758666,934.7886849287497,202.5930507414581
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,542,Neurological disorders,1,Number,2000,2816.1276544187067,5638.443529518491,1384.8157319331215
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,542,Neurological disorders,3,Rate,2000,567.8155628867561,1136.8788561467368,279.22027010680733
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,542,Neurological disorders,1,Number,2000,3124.9161717164056,6970.108097475141,1285.2747885464603
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,542,Neurological disorders,3,Rate,2000,1138.751946030105,2539.979866301623,468.36749730691355
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,542,Neurological disorders,1,Number,2000,6590.983606885452,14911.778033985527,2412.202117438567
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,542,Neurological disorders,3,Rate,2000,1610.6863113230538,3644.0989978699163,589.4872696457481
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,542,Neurological disorders,1,Number,2000,13183.703621086932,26882.003490834435,6165.087399275598
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,542,Neurological disorders,3,Rate,2000,256.9695723460697,523.9693745690986,120.16652664536926
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,542,Neurological disorders,1,Number,2000,1618.3959604540964,3003.525209637533,1017.8826068975671
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,542,Neurological disorders,3,Rate,2000,74.98391892275991,139.16006731673633,47.16078681207231
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,542,Neurological disorders,1,Number,2000,11206.166134104578,23882.6282535772,4880.389605998585
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,542,Neurological disorders,3,Rate,2000,653.4599627623062,1392.6566126618982,284.58789313283796
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,542,Neurological disorders,1,Number,2000,4615.1825272191245,8987.254630225128,2423.5272851124014
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,542,Neurological disorders,3,Rate,2000,353.4659414101757,688.3126289870918,185.61223707043
1,All Population,1,Deaths,101,Canada,3,Both,420,<70 years,542,Neurological disorders,1,Number,2000,1750.8215518916488,2738.6311976846746,1341.4762462668352
1,All Population,1,Deaths,101,Canada,3,Both,420,<70 years,542,Neurological disorders,3,Rate,2000,6.2872123850811255,9.834443701957706,4.817250542014655
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,542,Neurological disorders,1,Number,2010,567.0606913830877,973.5975716930157,401.3230575815084
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,542,Neurological disorders,3,Rate,2010,28.37915801325468,48.724730435831454,20.084641094922873
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,542,Neurological disorders,1,Number,2010,765.8158846321263,1386.5138704873561,501.0200983654078
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,542,Neurological disorders,3,Rate,2010,51.714552180415005,93.62948111037336,33.83323660464537
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,542,Neurological disorders,1,Number,2010,1145.4946656867883,2046.8197370560565,722.418354341783
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,542,Neurological disorders,3,Rate,2010,101.22159224480835,180.86714764288894,63.83647020259786
