population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,974,Diabetes and kidney diseases,1,Number,2000,490.83374027367245,513.7471479555564,467.25761903761645
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,974,Diabetes and kidney diseases,3,Rate,2000,39.0408244578367,40.863352645366135,37.165584157403515
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,974,Diabetes and kidney diseases,1,Number,2000,797.7070363936516,833.2792965804646,759.4619737980491
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,974,Diabetes and kidney diseases,3,Rate,2000,69.50450595448079,72.60393000011325,66.17219965701727
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,974,Diabetes and kidney diseases,1,Number,2000,1264.4992451436697,1316.978733225453,1197.2795564704825
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,974,Diabetes and kidney diseases,3,Rate,2000,125.12131655733025,130.31412522547726,118.46997534248635
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,974,Diabetes and kidney diseases,1,Number,2000,1747.6739819512472,1838.6808754996403,1632.178669648823
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,974,Diabetes and kidney diseases,3,Rate,2000,215.83268985624844,227.07177840071532,201.56935231305954
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,974,Diabetes and kidney diseases,1,Number,2000,5037.785792926849,5504.036944149679,4340.394658783009
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,974,Diabetes and kidney diseases,3,Rate,2000,556.5620350683538,608.0723017299256,479.515998414179
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,974,Diabetes and kidney diseases,1,Number,2000,8049.959020021767,8617.967434571781,7205.824869559743
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,974,Diabetes and kidney diseases,3,Rate,2000,295.3554463597262,316.195847956584,264.38390747647304
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,974,Diabetes and kidney diseases,1,Number,2000,1845.2070179756693,1985.8186659875041,1662.172256674886
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,974,Diabetes and kidney diseases,3,Rate,2000,372.0489232476635,400.40043705031286,335.1436409701453
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,974,Diabetes and kidney diseases,1,Number,2000,1620.2346743164526,1783.6069203159984,1394.3398419183509
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,974,Diabetes and kidney diseases,3,Rate,2000,590.4303626135021,649.964907809672,508.1119368202783
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,974,Diabetes and kidney diseases,1,Number,2000,3192.5787749511824,3518.57296396956,2683.0181958571075
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,974,Diabetes and kidney diseases,3,Rate,2000,780.1935549137783,859.8591115500036,655.668552503021
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,974,Diabetes and kidney diseases,1,Number,2000,9338.499796689097,9930.351484316563,8488.011485709869
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,974,Diabetes and kidney diseases,3,Rate,2000,182.02095314633667,193.55700397341027,165.44369808668128
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,974,Diabetes and kidney diseases,1,Number,2000,2062.20628153732,2146.5609823469213,1962.1017628583922
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,974,Diabetes and kidney diseases,3,Rate,2000,95.54664766551522,99.45499037077381,90.90858053247779
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,974,Diabetes and kidney diseases,1,Number,2000,6785.459774878099,7314.9814386707585,6009.3341398369885
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,974,Diabetes and kidney diseases,3,Rate,2000,395.67736536785384,426.5551162920272,350.4195115663353
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,974,Diabetes and kidney diseases,1,Number,2000,3592.880999926914,3821.534476664061,3287.345896392866
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,974,Diabetes and kidney diseases,3,Rate,2000,275.1702792953491,292.6823096289149,251.7700665480556
1,All Population,1,Deaths,101,Canada,3,Both,420,<70 years,974,Diabetes and kidney diseases,1,Number,2000,2300.9928111037852,2371.014800755912,2229.6971556997314
1,All Population,1,Deaths,101,Canada,3,Both,420,<70 years,974,Diabetes and kidney diseases,3,Rate,2000,8.262881208152766,8.514330660607362,8.00685801311353
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,974,Diabetes and kidney diseases,1,Number,1995,487.20697288932854,512.3157215378152,460.99069186216616
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,974,Diabetes and kidney diseases,3,Rate,1995,40.48588870740241,42.57237363050646,38.30737014127179
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,974,Diabetes and kidney diseases,1,Number,1995,771.1348857271262,809.7093740098398,729.4757857553261
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,974,Diabetes and kidney diseases,3,Rate,1995,69.28533192615562,72.75119279436063,65.54232324801826
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,974,Diabetes and kidney diseases,1,Number,1995,1144.4897642058525,1200.370160608963,1091.2805098484505
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,974,Diabetes and kidney diseases,3,Rate,1995,119.2980265604413,125.12282397043116,113.75166062680157
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,974,Diabetes and kidney diseases,1,Number,1995,1333.3616430964307,1405.9228856907953,1254.981413652514
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,974,Diabetes and kidney diseases,3,Rate,1995,202.13080267677967,213.13071577969657,190.24876094150275
