population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,294,All causes,1,Number,1995,13303.978660126311,13473.398506510639,13113.85227867443
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,294,All causes,3,Rate,1995,1105.533026765364,1119.6114645284028,1089.7339188951435
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,294,All causes,1,Number,1995,19759.981271643854,19986.68215788725,19505.536566873503
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,294,All causes,3,Rate,1995,1775.4051678903356,1795.7739080965525,1752.5436865163683
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,294,All causes,1,Number,1995,26653.870737516485,26943.839798177458,26376.40351771076
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,294,All causes,3,Rate,1995,2778.315961077382,2808.541427291527,2749.3936475772657
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,294,All causes,1,Number,1995,29594.897614696714,29917.36625455142,29333.658689690932
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,294,All causes,3,Rate,1995,4486.435050061756,4535.319645887197,4446.832565713086
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,294,All causes,1,Number,1995,83453.38191985978,83973.34036342528,82896.55992916721
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,294,All causes,3,Rate,1995,10764.383083772875,10831.450849577206,10692.560407694387
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,294,All causes,1,Number,1995,139702.15027207293,140433.57993627514,138978.19602134437
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,294,All causes,3,Rate,1995,5834.830268802691,5865.379318590937,5804.593438752809
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,294,All causes,1,Number,1995,32983.81950466841,33278.1472717035,32681.064530781132
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,294,All causes,3,Rate,1995,7401.321468551462,7467.366409788151,7333.3855253649635
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,294,All causes,1,Number,1995,26463.842192953874,26727.270861627763,26207.57425146509
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,294,All causes,3,Rate,1995,12001.189328298984,12120.652605936688,11884.97339630559
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,294,All causes,1,Number,1995,50469.5624151914,50851.222472071124,50108.59019042076
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,294,All causes,3,Rate,1995,15311.18100868488,15426.966958374649,15201.671220842778
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,294,All causes,1,Number,1995,172766.11020384333,173571.19268241076,172001.62340493206
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,294,All causes,3,Rate,1995,3667.5537119311048,3684.644350999129,3651.3248555091977
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,294,All causes,1,Number,1995,46413.85200916036,46784.47891255826,45999.42131093976
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,294,All causes,3,Rate,1995,2239.685631078779,2257.5701141393015,2219.687409864571
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,294,All causes,1,Number,1995,113048.27953455655,113674.77341904327,112423.91872575891
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,294,All causes,3,Rate,1995,7878.33452592832,7921.9948843234815,7834.8228215765275
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,294,All causes,1,Number,1995,62578.71711936517,63051.00064788277,62176.087277746105
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,294,All causes,3,Rate,1995,5661.69223942281,5704.42120721413,5625.265058512304
1,All Population,1,Deaths,101,Canada,3,Both,420,<70 years,294,All causes,1,Number,1995,70868.44418576958,71264.89164470971,70423.74320724879
1,All Population,1,Deaths,101,Canada,3,Both,420,<70 years,294,All causes,3,Rate,1995,263.6394005639742,265.1142342735462,261.9850577777815
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,294,All causes,1,Number,2000,12145.006591010171,12314.173260914133,11982.248919150665
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,294,All causes,3,Rate,2000,966.0115665531204,979.4670520300454,953.0658515892502
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,294,All causes,1,Number,2000,17957.095240256836,18145.448356018358,17729.416163199672
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,294,All causes,3,Rate,2000,1564.6082786158331,1581.0195545087697,1544.7705173262111
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,294,All causes,1,Number,2000,25348.35492687279,25594.79432815561,25081.58260267528
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,294,All causes,3,Rate,2000,2508.202004226944,2532.5870107491146,2481.805069192904
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,294,All causes,1,Number,2000,32883.42269832175,33196.19794014133,32584.167205254886
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,294,All causes,3,Rate,2000,4061.007742837009,4099.634581972639,4024.050553630148
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,294,All causes,1,Number,2000,93424.77925997917,93998.14617958092,92878.6256149573
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,294,All causes,3,Rate,2000,10321.337073074868,10384.681223209722,10260.999377780206
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,294,All causes,1,Number,2000,151656.55688517378,152434.4416581139,150910.85638124903
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,294,All causes,3,Rate,2000,5564.325227096452,5592.866056156166,5536.96524866183
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,294,All causes,1,Number,2000,33649.8176381323,33976.611626137186,33347.51769265037
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,294,All causes,3,Rate,2000,6784.8096705604585,6850.701112646142,6723.85696004142
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,294,All causes,1,Number,2000,31199.820439461848,31503.302482000458,30875.059624192105
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,294,All causes,3,Rate,2000,11369.538985652947,11480.130997577615,11251.192767687171
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,294,All causes,1,Number,2000,59774.961621846895,60201.58018574014,59337.14919225862
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,294,All causes,3,Rate,2000,14607.639494595262,14711.895357149866,14500.648106158445
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,294,All causes,1,Number,2000,181758.65871644064,182668.5353645804,180934.95819470804
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,294,All causes,3,Rate,2000,3542.7408066010753,3560.4756267912185,3526.685684543239
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,294,All causes,1,Number,2000,43305.45016712964,43655.54267324732,42958.10657573859
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,294,All causes,3,Rate,2000,2006.4387477428882,2022.6593196768606,1990.3455392008343
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,294,All causes,1,Number,2000,126308.20195830101,126916.45382646436,125637.8380085201
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,294,All causes,3,Rate,2000,7365.351535977416,7400.820244754673,7326.260914223391
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,294,All causes,1,Number,2000,66533.24033645405,67027.71823462017,66042.38695953527
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,294,All causes,3,Rate,2000,5095.6239091077705,5133.494804733461,5058.030607013285
1,All Population,1,Deaths,101,Canada,3,Both,420,<70 years,294,All causes,1,Number,2000,66651.43464621707,67081.89673425797,66182.21715781561
1,All Population,1,Deaths,101,Canada,3,Both,420,<70 years,294,All causes,3,Rate,2000,239.34576595676617,240.89155831254052,237.66080268841569
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,294,All causes,1,Number,2005,13262.670148113511,13444.52440405819,13090.92138321679
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,294,All causes,3,Rate,2005,863.2486723206761,875.0853117942473,852.069785142298
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,294,All causes,1,Number,2005,16399.286562099747,16602.556835673622,16207.52460633288
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,294,All causes,3,Rate,2005,1353.4119641954414,1370.1875976462256,1337.5860973670508
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,294,All causes,1,Number,2005,23253.04640201417,23492.509106120084,22993.450206708952
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,294,All causes,3,Rate,2005,2193.4797537028935,2216.0684753758424,2168.9918225864362
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,294,All causes,1,Number,2005,31647.839399223423,31923.046712440206,31385.50692726756
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,294,All causes,3,Rate,2005,3630.2439726473563,3661.8123106128915,3600.1524753058075
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,294,All causes,1,Number,2005,106632.21522972637,107248.07471286022,106020.9211796166
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,294,All causes,3,Rate,2005,9483.887414327064,9538.662061824582,9429.518817221597
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,294,All causes,1,Number,2005,161533.10103096394,162423.7321162071,160767.75313221704
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,294,All causes,3,Rate,2005,5285.3667766082235,5314.508246177707,5260.324575779003
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,294,All causes,1,Number,2005,38316.247332130304,38652.76465962352,38002.36620356635
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,294,All causes,3,Rate,2005,6071.0823587250625,6124.402413599966,6021.348934524014
